YYYYMMDD,MKT_RF,SMB,HML,RF,CNSMR,MANUF,HITEC,HEALTH,OTHER
20170615,-0.3,-0.24,-0.11,0.003,-0.52,-0.17,-0.28,-0.15,-0.26
20170616,-0.03,-0.21,-0.13,0.003,-0.68,0.63,-0.14,0.13,-0.01
20170619,0.86,0.1,-0.77,0.003,0.6,0.24,1.4,1.24,0.76
20170620,-0.73,-0.4,-0.49,0.003,-0.77,-0.72,-0.94,0.5,-0.97
20170621,-0.07,-0.06,-1.69,0.003,-0.19,-1.03,0.48,1.55,-0.53
20170622,0.02,0.52,-0.38,0.003,-0.2,-0.15,0.16,1.12,-0.29
20170623,0.24,0.83,-0.49,0.003,0,0.46,0.54,0.07,-0.02
20170626,0.04,-0.05,0.7,0.003,0.33,0.03,-0.34,-0.08,0.33
20170627,-0.85,-0.4,1.35,0.003,-0.76,-0.71,-1.5,-1.3,-0.05
20170628,1.02,0.74,0.19,0.003,0.76,0.58,1.31,0.74,1.31
20170629,-0.83,-0.11,1.38,0.003,-0.85,-0.71,-1.63,-0.93,0
20170630,0.14,-0.09,-0.28,0.003,0.26,0.57,0.05,-0.22,0.04
20170703,0.24,0.35,1.21,0.004,-0.06,0.84,-0.64,0.21,0.94
20170705,0.12,-0.69,-0.59,0.004,-0.39,-0.71,0.76,0.62,0.18
20170706,-0.95,-0.51,0.12,0.004,-0.96,-0.72,-0.91,-1.45,-0.93
20170707,0.7,0.42,-0.41,0.004,0.44,0.43,1.09,0.61,0.7
20170710,0.05,-0.44,-0.08,0.004,-0.48,0.29,0.56,-0.41,-0.07
20170711,0,0.37,-0.55,0.004,-0.13,0.19,0.24,0,-0.32
20170712,0.72,0.12,-0.54,0.004,0.7,0.51,1.17,0.74,0.43
20170713,0.17,-0.08,0.37,0.004,0.21,0.02,0.14,0.13,0.32
20170714,0.42,-0.13,-0.51,0.004,0.5,0.55,0.72,0.59,-0.08
20170717,0,0.22,0.11,0.004,0.19,0.11,0.03,-0.42,-0.09
20170718,0.04,-0.3,-0.32,0.004,-0.11,-0.19,0.29,0.13,-0.01
20170719,0.59,0.52,0.03,0.004,0.44,1.01,0.61,0.86,0.28
20170720,-0.01,0.06,-0.03,0.004,-0.23,-0.21,0.13,0.73,-0.12
20170721,-0.08,-0.41,-0.23,0.004,-0.01,-0.15,-0.11,-0.09,-0.02
20170724,-0.03,0.1,-0.19,0.004,-0.16,-0.39,0.17,0.07,0.08
20170725,0.38,0.35,0.94,0.004,0.92,0.53,-0.05,-0.75,0.91
20170726,-0.06,-0.34,-0.76,0.004,-0.02,0.07,0.24,-0.3,-0.4
20170727,-0.14,-0.61,0.41,0.004,0.48,0.42,-0.13,-0.85,-0.76
20170728,-0.17,-0.05,0.24,0.004,-0.94,-0.29,-0.04,0.43,0.02
20170731,-0.11,-0.36,0.44,0.004,-0.43,0,-0.3,-0.29,0.29
20170801,0.24,-0.2,0.11,0.004,0.07,0.06,0.47,-0.45,0.47
20170802,-0.08,-1.17,0.14,0.004,-0.13,-0.03,-0.03,-0.42,0.02
20170803,-0.21,-0.33,-0.31,0.004,-0.29,-0.46,-0.16,0.05,-0.13
20170804,0.25,0.3,0.36,0.004,0.19,0.35,0.06,0.06,0.46
20170807,0.16,-0.09,-0.59,0.004,0.46,-0.08,0.4,0.1,-0.1
20170808,-0.24,-0.08,0.24,0.004,-0.34,-0.15,-0.12,-0.51,-0.24
